City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,west island,-12.1568,96.8225,27.99,78,75,7.2,CC,2024-09-07
120,flying fish cove,-10.4217,105.6791,26.82,78,100,7.72,CX,2024-09-07
121,lae,-6.7221,146.9847,23.92,86,95,1.52,PG,2024-09-07
122,puerto baquerizo moreno,-0.9,-89.6,20.98,86,100,4.66,EC,2024-09-07
123,pindiga,9.9833,10.9333,20.26,97,100,3.14,NG,2024-09-07
124,champoton,19.35,-90.7167,26.39,89,100,2.74,MX,2024-09-07
125,bataipora,-22.2953,-53.2711,23.84,39,0,2.47,BR,2024-09-07
126,tura,25.5198,90.2201,28.13,82,81,0.49,IN,2024-09-07
127,sisimiut,66.9395,-53.6735,1.6,100,100,4.38,GL,2024-09-07
128,qaqortoq,60.7167,-46.0333,3.77,79,6,3.33,GL,2024-09-07
129,kabalo,-6.05,26.9167,25.11,58,1,1.02,CD,2024-09-07
130,badger,64.8,-147.5333,20.2,51,75,0.0,US,2024-09-07
131,cova figueira,14.8905,-24.2934,20.25,86,86,3.56,CV,2024-09-07
132,georgetown,5.4112,100.3354,29.96,83,20,3.6,MY,2024-09-07
133,puerto ayora,-0.7393,-90.3518,20.86,95,96,2.24,EC,2024-09-07
134,igarka,67.4667,86.5833,7.84,98,100,4.11,RU,2024-09-07
135,wailua homesteads,22.0669,-159.378,28.44,67,0,5.14,US,2024-09-07
136,camana,-16.6228,-72.7111,15.45,81,65,3.06,PE,2024-09-07
137,fenoarivo atsinanana,-17.3667,49.4167,20.19,94,90,2.73,MG,2024-09-07
138,nar'yan-mar,67.6713,53.087,10.2,93,100,4.59,RU,2024-09-07
139,masterton,-40.9597,175.6575,15.28,79,52,6.76,NZ,2024-09-07
140,kailua-kona,19.6406,-155.9956,28.98,71,20,3.6,US,2024-09-07
141,east london,-33.0153,27.9116,15.3,69,87,2.1,ZA,2024-09-07
142,dompu,-8.5356,118.4622,31.62,56,59,3.35,ID,2024-09-07
143,fisterra,42.9049,-9.2629,15.53,88,100,1.17,ES,2024-09-07
144,hamilton,39.1834,-84.5333,19.99,77,0,3.6,US,2024-09-07
145,bamyan,34.75,67.25,7.49,31,0,2.12,AF,2024-09-07
146,lerwick,60.1545,-1.1494,13.45,97,97,2.69,GB,2024-09-07
147,la maddalena,41.2142,9.4083,24.7,84,1,3.82,IT,2024-09-07
148,lompoc,34.6391,-120.4579,22.3,61,0,4.63,US,2024-09-07
149,dapa,9.7594,126.0531,29.82,70,87,3.84,PH,2024-09-07
150,minas de marcona,-15.2119,-75.1103,11.96,74,81,4.82,PE,2024-09-07
151,bilibino,68.0546,166.4372,10.68,63,100,1.64,RU,2024-09-07
152,goundam,16.4145,-3.6708,27.27,74,75,4.77,ML,2024-09-07
153,taltal,-25.4,-70.4833,14.42,82,0,2.05,CL,2024-09-07
154,okhotsk,59.3833,143.3,9.94,90,100,3.41,RU,2024-09-07
155,isangel,-19.55,169.2667,27.06,50,40,6.17,VU,2024-09-07
156,aginskoye,51.1,114.53,17.87,42,26,1.96,RU,2024-09-07
157,murtosa,40.7553,-8.6585,13.93,88,95,4.34,PT,2024-09-07
158,waddan,29.1614,16.139,31.35,32,100,2.99,LY,2024-09-07
159,raseiniai,55.3736,23.1217,13.64,54,32,3.17,LT,2024-09-07
160,punta arenas,-53.15,-70.9167,3.06,87,0,6.69,CL,2024-09-07
161,rawson,-43.3002,-65.1023,10.16,37,0,2.06,AR,2024-09-07
162,raduzhnyy,62.0961,77.475,9.3,95,100,4.63,RU,2024-09-07
163,luderitz,-26.6481,15.1594,11.11,74,0,7.77,NA,2024-09-07
164,horta,38.5333,-28.6333,21.68,63,65,3.13,PT,2024-09-07
165,rosso,16.4986,-15.8153,25.15,70,54,5.53,SN,2024-09-07
166,moses lake,47.1301,-119.2781,34.2,17,0,1.54,US,2024-09-07
167,geraldton,-28.7667,114.6,18.23,72,0,4.12,AU,2024-09-07
168,fonte boa,-2.4959,-66.2662,26.66,59,71,0.77,BR,2024-09-07
169,mendi,-6.1761,143.6513,16.4,90,100,1.51,PG,2024-09-07
170,ippy,6.2679,21.2247,20.84,98,100,1.63,CF,2024-09-07
171,pitimbu,-7.4706,-34.8086,23.85,84,42,4.76,BR,2024-09-07
172,inhambane,-23.865,35.3833,21.31,90,1,1.95,MZ,2024-09-07
173,xilin hot,43.9667,116.0333,16.47,62,0,3.83,CN,2024-09-07
174,hami,42.8,93.45,26.68,18,0,3.58,CN,2024-09-07
175,crane,31.3974,-102.3501,27.13,43,70,6.01,US,2024-09-07
176,cadale,2.7603,46.3222,25.2,84,24,6.99,SO,2024-09-07
177,saudarkrokur,65.7461,-19.6394,9.89,74,100,10.42,IS,2024-09-07
178,uturoa,-16.7333,-151.4333,25.84,69,17,8.83,PF,2024-09-07
179,jamestown,42.097,-79.2353,17.79,97,100,3.6,US,2024-09-07
180,sao jose da coroa grande,-8.8978,-35.1478,23.97,80,16,4.31,BR,2024-09-07
181,new norfolk,-42.7826,147.0587,14.95,65,70,4.41,AU,2024-09-07
182,gariaband,20.635,82.0614,25.66,90,52,0.75,IN,2024-09-07
183,xindi,29.8167,113.4667,30.41,66,100,4.22,CN,2024-09-07
184,mount isa,-20.7333,139.5,29.87,32,0,5.14,AU,2024-09-07
185,mejit,10.2753,170.8646,28.65,74,2,5.4,MH,2024-09-07
186,porto franco,-6.3383,-47.3992,25.68,33,3,1.26,BR,2024-09-07
187,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,2024-09-07
188,longyearbyen,78.2186,15.6401,4.91,81,75,5.14,SJ,2024-09-07
189,holualoa,19.6228,-155.9522,26.91,78,20,3.6,US,2024-09-07
190,rio grande,-32.035,-52.0986,12.33,90,19,4.5,BR,2024-09-07
191,chonchi,-42.6128,-73.8092,7.84,96,73,1.81,CL,2024-09-07
192,imbert,19.7537,-70.8291,26.05,95,2,1.46,DO,2024-09-07
193,brisas de zicatela,15.8369,-97.0419,29.29,89,75,1.54,MX,2024-09-07
194,egilsstadir,65.2653,-14.3948,12.95,54,0,3.09,IS,2024-09-07
195,nili,33.7218,66.1302,15.39,17,0,3.26,AF,2024-09-07
196,basoko,1.2391,23.616,21.49,96,30,0.98,CD,2024-09-07
197,black point,-34.6187,137.8972,15.8,63,0,5.06,AU,2024-09-07
198,bride,54.3826,-4.3892,14.86,95,15,5.4,IM,2024-09-07
199,kununurra,-15.7667,128.7333,32.99,49,20,5.14,AU,2024-09-07
200,udachny,66.4167,112.4,5.42,80,100,2.98,RU,2024-09-07
201,ilulissat,69.2167,-51.1,4.01,93,75,4.63,GL,2024-09-07
202,wagar,16.1525,36.2032,28.18,67,20,3.53,SD,2024-09-07
203,colonia,50.9333,6.95,16.06,88,0,0.51,DE,2024-09-07
204,contai,21.7786,87.7536,29.11,80,72,4.23,IN,2024-09-07
205,itoman,26.1247,127.6694,32.21,74,20,2.06,JP,2024-09-07
206,turbat,26.0023,63.044,26.71,79,4,1.57,PK,2024-09-07
207,oban,56.4127,-5.4706,14.59,81,51,2.76,GB,2024-09-07
208,muscat,23.6139,58.5922,28.5,71,0,0.86,OM,2024-09-07
209,es castell,39.8795,4.2854,25.38,94,40,3.6,ES,2024-09-07
210,stanley,54.868,-1.6985,15.16,97,100,3.09,GB,2024-09-07
211,port elizabeth,-33.918,25.5701,11.29,97,20,3.6,ZA,2024-09-07
212,hirara,24.8,125.2833,31.15,79,40,3.09,JP,2024-09-07
213,aasiaat,68.7098,-52.8699,2.19,98,100,7.43,GL,2024-09-07
214,pelabuhanratu,-6.9875,106.5514,29.47,62,5,1.79,ID,2024-09-07
215,montanha,-18.1269,-40.3633,19.65,93,0,2.6,BR,2024-09-07
216,caleta olivia,-46.4393,-67.5281,9.9,51,46,14.35,AR,2024-09-07
217,grand-lahou,5.1367,-5.0242,22.45,94,14,3.21,CI,2024-09-07
218,kimberley,-28.7323,24.7623,8.83,43,0,1.03,ZA,2024-09-07
219,pisco,-13.7,-76.2167,17.03,77,0,3.09,PE,2024-09-07
220,kamina,-8.7386,24.9906,18.76,40,3,0.81,CD,2024-09-07
221,prince edward,44.0001,-77.2495,19.45,96,100,2.9,CA,2024-09-07
